,Unnamed: 0,Name,Self Introduction,Job Title,emb1,emb2,join_year,color_code
23,23,Olivia,Hello Im Olivia I love going on long bike rides and playing the piano The fun part about biking is feeling the wind in my hair and the piano lets me express my emotions through music,Software Engineer,6.874024,5.5152817,2022,#780897
24,24,Benjamin,Hey Im Benjamin Im into skateboarding and playing the guitar Skateboarding is an exhilarating experience and playing the guitar allows me to connect with my emotions,Product Manager,4.4047604,4.908976,2016,#9a02b1
25,25,Ava,Hi Im Ava Im passionate about ballet and love going on picnics with my family The fun part about picnics is having delicious food and spending quality time with loved ones,Data Scientist,6.4816346,7.8444796,2020,#780897
26,26,Lucas,Hey there Im Lucas I enjoy playing tennis and listening to live bands at concerts The energy at live concerts is contagious and tennis keeps me fit and agile,Software Engineer,8.352626,6.526493,2019,#780897
27,27,Chloe,Hi Im Chloe Im a basketball enthusiast and enjoy painting in my spare time Painting allows me to express my creativity and emotions on canvas,Product Manager,5.697967,7.812855,2022,#780897
28,28,Mia,Hi Im Mia Im into playing soccer and going on photography adventures Photography allows me to capture beautiful moments during my travels,Data Scientist,6.406684,7.694054,2015,#9a02b1
29,29,Oliver,Hello Im Oliver I love going on nature hikes and playing the saxophone Playing the saxophone lets me improvise and create unique melodies,Software Engineer,6.982129,5.849958,2020,#780897
30,30,Isabella,Hey Im Isabella Im into swimming and playing the piano Swimming is not just refreshing but also a great way to stay fit and the piano lets me relax and unwind,Product Manager,6.8451867,4.5079813,2022,#780897
31,31,Ethan,Greetings Im Ethan I enjoy playing basketball and going on road trips with friends Road trips are always full of laughter and unforgettable memories,Data Scientist,7.3960133,9.071202,2021,#780897
32,32,Lily,Hello there Im Lily Im a volleyball player and enjoy going on picnics with family Picnics are a great way to bond with loved ones while enjoying nature,Software Engineer,6.694953,8.316715,2014,#9a02b1
33,33,Samuel,Hey Im Samuel Im into skateboarding and playing the guitar Skateboarding is an exciting way to stay active and playing the guitar lets me express myself through music,Product Manager,5.0705533,5.206972,2014,#9a02b1
34,34,Mia,Hi Im Mia I enjoy playing basketball and listening to live music Live concerts have an electrifying atmosphere and basketball keeps me active,Data Scientist,8.305201,6.4808297,2012,#c500cf
35,35,Oliver,Hi Im Oliver Im a soccer player and enjoy playing video games in my free time Video games provide an excellent way to unwind and challenge my mind,Software Engineer,5.4183145,5.8332357,2019,#780897
36,36,Aiden,Greetings Im Aiden I enjoy playing the piano and going on hiking trails The fun part about hiking is discovering hidden natural gems,Product Manager,7.395274,5.29519,2021,#780897
37,37,Evelyn,Hi there Im Evelyn I love gardening and reading books One fun thing about gardening is watching plants grow and bloom,Data Scientist,7.606279,8.535682,2015,#9a02b1
38,38,Daniel,Hey Im Daniel Im a movie buff and enjoy playing basketball with friends Playing basketball is a great stress reliever for me,Software Engineer,4.581839,5.0631604,2014,#9a02b1
39,39,Sophie,Hello Im Sophie I enjoy painting and going on weekend getaways Painting allows me to express my emotions on a canvas,Data Scientist,5.5343204,7.9454207,2022,#780897
40,40,Jackson,Whats up Im Jackson I love skateboarding and going on photography walks Skateboarding is all about the thrill and pushing limits,Product Manager,8.100294,5.4525175,2014,#9a02b1
41,41,Charlotte,Hi Im Charlotte Im into playing the flute and going on road trips Road trips are full of adventures and new experiences,Software Engineer,7.3738694,9.099116,2019,#780897
42,42,Henry,Hey Im Henry I enjoy birdwatching and playing the guitar Birdwatching allows me to connect with nature and observe different species,Data Scientist,4.6299677,5.4268894,2012,#c500cf
43,43,Zoe,Greetings Im Zoe I love playing volleyball and going on picnics Picnics are a great way to relax and enjoy good company,Software Engineer,6.9149666,8.113108,2015,#9a02b1
44,44,Lucas,Hi Im Lucas Im passionate about soccer and enjoy painting landscapes Soccer keeps me active and painting is my creative outlet,Data Scientist,5.532003,7.604655,2022,#780897
45,45,Emma,Hello Im Emma I enjoy dancing and going on long walks in the park Dancing is a way for me to express myself and feel free,Software Engineer,7.5145283,7.3233,2021,#780897
46,46,Liam,Hey Im Liam Im into playing the guitar and going on camping trips The fun part about camping is roasting marshmallows and connecting with nature,Product Manager,4.8578863,6.0682745,2017,#9a02b1
47,47,Mia,Hi there Im Mia I enjoy swimming and playing the piano Swimming allows me to feel weightless and the piano is my form of relaxation,Software Engineer,6.9843655,4.3925104,2011,#c500cf
48,48,Noah,Hello Im Noah I love playing basketball and going on road trips with friends The fun part about road trips is the spontaneity and adventure,Data Scientist,7.0168257,8.902102,2013,#c500cf
49,49,Olivia,Hi Im Olivia Im into horseback riding and enjoy reading novels Riding horses is exhilarating and books take me to different worlds,Product Manager,4.2680993,6.591131,2012,#c500cf
50,50,Ethan,Hey Im Ethan Im an avid photographer and love going on hiking expeditions Photography allows me to capture breathtaking moments in nature,Data Scientist,6.4821563,6.545017,2019,#780897
51,51,Isabella,Hi Im Isabella I enjoy swimming and playing the violin Swimming keeps me fit and the violin lets me express my emotions through music,Software Engineer,6.1091466,5.1626186,2013,#c500cf
52,52,Ava,Hello Im Ava I love dancing and exploring new cuisines Dancing is a way for me to connect with my body and cultures through food are fascinating,Data Scientist,7.038953,7.4692025,2014,#9a02b1
53,53,James,Hey Im James Im a sports enthusiast and enjoy playing soccer with friends Playing soccer keeps me active and social,Product Manager,5.833935,7.0274596,2018,#780897
54,54,Sofia,Greetings Im Sofia I enjoy playing the piano and going on picnics Picnics are a perfect way to unwind and the piano is my creative outlet,Data Scientist,7.7292395,4.8285694,2022,#780897
