,Name,Self Introduction,Job Title,Org,emb1,emb2,join_year,color_code
11,Olivia,Hi there Im Olivia I enjoy kayaking and playing the ukulele The fun thing about kayaking is exploring hidden waterways and natures beauty,Data Scientist,Monetization,7.7091413,6.3719506,2022,#780897
12,Liam,Greetings Im Liam Im a soccer player and a guitar player Soccer helps me relieve stress and playing the guitar lets me unwind and relax,Product Manager,Data,4.172121,4.382276,2012,#c500cf
13,Ava,Hello Im Ava I love going on nature hikes and listening to live music The fun part about live music is feeling the energy of the crowd and dancing along,Data Scientist,Core,7.2564883,4.2517033,2011,#c500cf
14,Jackson,Hey Im Jackson Im into skateboarding and playing the drums Skateboarding gives me a sense of freedom and drumming allows me to release my emotions,Product Manager,Data,4.456625,3.189227,2015,#9a02b1
15,Isabella,Hi Im Isabella Im passionate about horseback riding and singing Riding horses gives me a unique connection with animals and singing brings me joy,Data Scientist,Data,4.2909074,5.0596156,2014,#9a02b1
16,Noah,Hi there Im Noah I enjoy playing basketball and going on road trips One fun thing about road trips is discovering new places and trying local food,Software Engineer,Monetization,6.616253,6.798531,2015,#9a02b1
17,Sophia,Whats up Im Sophia Im a dancer and a music lover Dancing allows me to express myself and music is my constant companion,Data Scientist,Data,5.539954,5.1145406,2019,#780897
18,Ethan,Hey Im Ethan Im into playing basketball and going on camping trips The fun part about camping is stargazing and sharing stories around the campfire,Product Manager,Data,7.442894,6.0780807,2020,#780897
19,Mia,Hello Im Mia I enjoy rock climbing and playing the violin Rock climbing is a great way to challenge myself physically and playing the violin is a beautiful form of expression,Data Scientist,Monetization,6.9267,3.9606245,2013,#c500cf
20,Liam,Hi Im Liam Im into playing basketball and going fishing Fishing allows me to relax and connect with nature while waiting for the perfect catch,Software Engineer,Core,3.7908168,3.3471239,2019,#780897
21,Emma,Hi there Im Emma Im passionate about hiking and singing karaoke with friends Karaoke nights are always full of laughter and unforgettable moments,Product Manager,Data,5.5777373,6.513546,2010,#c500cf
22,Jacob,Greetings Im Jacob Im a music producer and enjoy playing soccer in my free time Producing music gives me a creative outlet and soccer keeps me active,Data Scientist,Core,4.8818674,5.4006047,2010,#c500cf
23,Olivia,Hello Im Olivia I love going on long bike rides and playing the piano The fun part about biking is feeling the wind in my hair and the piano lets me express my emotions through music,Software Engineer,Monetization,7.04777,5.0887823,2019,#780897
24,Benjamin,Hey Im Benjamin Im into skateboarding and playing the guitar Skateboarding is an exhilarating experience and playing the guitar allows me to connect with my emotions,Product Manager,Monetization,4.136218,3.118189,2021,#780897
25,Ava,Hi Im Ava Im passionate about ballet and love going on picnics with my family The fun part about picnics is having delicious food and spending quality time with loved ones,Data Scientist,Core,7.6571856,4.928712,2017,#9a02b1
26,Lucas,Hey there Im Lucas I enjoy playing tennis and listening to live bands at concerts The energy at live concerts is contagious and tennis keeps me fit and agile,Software Engineer,Data,5.8961005,4.2180877,2022,#780897
27,Chloe,Hi Im Chloe Im a basketball enthusiast and enjoy painting in my spare time Painting allows me to express my creativity and emotions on canvas,Product Manager,Monetization,5.1956706,3.1841075,2022,#780897
28,Mia,Hi Im Mia Im into playing soccer and going on photography adventures Photography allows me to capture beautiful moments during my travels,Data Scientist,Data,3.8323314,2.9185734,2017,#9a02b1
29,Oliver,Hello Im Oliver I love going on nature hikes and playing the saxophone Playing the saxophone lets me improvise and create unique melodies,Software Engineer,Monetization,7.79278,4.4128513,2012,#c500cf
30,Isabella,Hey Im Isabella Im into swimming and playing the piano Swimming is not just refreshing but also a great way to stay fit and the piano lets me relax and unwind,Product Manager,Core,4.9289975,3.8910313,2022,#780897
31,Ethan,Greetings Im Ethan I enjoy playing basketball and going on road trips with friends Road trips are always full of laughter and unforgettable memories,Data Scientist,Data,6.143164,6.6792665,2016,#9a02b1
32,Lily,Hello there Im Lily Im a volleyball player and enjoy going on picnics with family Picnics are a great way to bond with loved ones while enjoying nature,Software Engineer,Core,8.028028,4.974873,2022,#780897
33,Samuel,Hey Im Samuel Im into skateboarding and playing the guitar Skateboarding is an exciting way to stay active and playing the guitar lets me express myself through music,Product Manager,Monetization,4.6065674,3.5050852,2011,#c500cf
34,Mia,Hi Im Mia I enjoy playing basketball and listening to live music Live concerts have an electrifying atmosphere and basketball keeps me active,Data Scientist,Monetization,5.508581,4.09654,2021,#780897
35,Oliver,Hi Im Oliver Im a soccer player and enjoy playing video games in my free time Video games provide an excellent way to unwind and challenge my mind,Software Engineer,Data,4.934034,4.5402155,2020,#780897
36,Aiden,Greetings Im Aiden I enjoy playing the piano and going on hiking trails The fun part about hiking is discovering hidden natural gems,Product Manager,Data,6.786688,6.1168885,2013,#c500cf
37,Evelyn,Hi there Im Evelyn I love gardening and reading books One fun thing about gardening is watching plants grow and bloom,Data Scientist,Core,8.339595,6.426917,2012,#c500cf
38,Daniel,Hey Im Daniel Im a movie buff and enjoy playing basketball with friends Playing basketball is a great stress reliever for me,Software Engineer,Data,4.5095816,5.690035,2017,#9a02b1
39,Sophie,Hello Im Sophie I enjoy painting and going on weekend getaways Painting allows me to express my emotions on a canvas,,,5.411645,2.9787831,2017,#9a02b1
